episode,score,epsilon,budget,uncertainty,epistemic,aleatoric
216,18.0,0.05,44695,0.02268117874039871,0.005699678149704575,0.016981500590694136

217,15.0,0.05,44694,0.024631594018357062,0.006640124362792787,0.017991469655564276

218,19.0,0.05,44694,0.0218148166539396,0.004773227252948241,0.01704158940099136

219,17.0,0.05,44694,0.02327751768619929,0.004992592715410003,0.018284924970789287

220,20.0,0.05,44694,0.021795268517474917,0.005769064864122419,0.016026203653352496

221,19.0,0.05,44694,0.023233564919406736,0.0067004636692803675,0.01653310125012637

222,14.0,0.05,44692,0.024848280680575884,0.007189620664352955,0.01765866001622293

223,20.0,0.05,44691,0.0237152907212063,0.007822941919539465,0.015892348801666834

224,16.0,0.05,44691,0.024213446275287726,0.007492946945111119,0.016720499330176608

225,18.0,0.05,44691,0.024171642675247722,0.0073100306188312175,0.016861612056416505

226,19.0,0.05,44691,0.025676134193906495,0.008378308478601477,0.017297825715305016

227,16.0,0.05,44690,0.02506904465019887,0.00847074759784902,0.016598297052349848

228,21.0,0.05,44690,0.023257651742352566,0.00755911429224154,0.015698537450111023

229,20.0,0.05,44690,0.024023094568740397,0.007739172804986135,0.01628392176375426

230,13.0,0.05,44689,0.024853168958961353,0.009050454616941562,0.01580271434201979

231,5.0,0.05,44689,0.02578188600858972,0.009065872683688579,0.016716013324901143

232,10.0,0.05,44688,0.02647249068853804,0.008374805345839438,0.018097685342698604

233,19.0,0.05,44688,0.021570584105526817,0.006109767806538807,0.015460816298988008

234,15.0,0.05,44688,0.023834435069674788,0.006636096722287596,0.017198338347387192

235,18.0,0.05,44688,0.022011085575965726,0.005830196396114205,0.016180889179851523

236,16.0,0.05,44687,0.024228838418852115,0.006669514648547593,0.01755932377030452

237,15.0,0.05,44687,0.02242793921834881,0.0060537676293202225,0.016374171589028583

238,17.0,0.05,44686,0.021936268024449007,0.005608384024572241,0.016327883999876766

239,11.0,0.05,44685,0.022419368022230896,0.007202955604136634,0.015216412418094263

240,17.0,0.05,44685,0.02099288635060137,0.005764844575686898,0.01522804177491447

241,16.0,0.05,44683,0.021497385798666835,0.005889278509412653,0.015608107289254183

242,17.0,0.05,44683,0.021562155609013367,0.005730881005366297,0.01583127460364707

243,18.0,0.05,44681,0.02095727172515613,0.005199380869017292,0.015757890856138837

244,19.0,0.05,44681,0.01875864562057289,0.0041704712540565495,0.014588174366516339

245,18.0,0.05,44681,0.01934402363563497,0.004480834618804105,0.014863189016830865

246,17.0,0.05,44681,0.021215349397366107,0.004869284847129162,0.016346064550236943

247,19.0,0.05,44680,0.01981576956576268,0.004077537064981428,0.01573823250078125

248,13.0,0.05,44680,0.02014355002422215,0.004588432352222071,0.015555117672000079

249,19.0,0.05,44680,0.01906628030481079,0.0040531993336615935,0.015013080971149196

250,17.0,0.05,44680,0.02001442433357813,0.00442613413203216,0.015588290201545969

